projectRcn,projectID,projectAcronym,role,id,name,shortName,activityType,endOfParticipation,ecContribution,country,street,city,postCode,organizationUrl,vatNumber,contactForm,contactType,contactTitle,contactFirstNames,contactLastNames,contactFunction,contactTelephoneNumber,contactFaxNumber
223226,818184,FF-IPM,participant,999818189,SVEUCILISTE U SPLITU,UNIST,HES,false,168250,HR,POLJICKA CESTA 35,SPLIT,21000,www.unist.hr,HR29845096215,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999818189&projectId=818184&programId=31045243,NA,NA,NA,NA,NA,NA,NA
222529,817936,SHEALTHY,participant,905482973,COLD PRESSOK DOO BELGRADE,CP,OTH,false,136250,RS,DOBRACINA 23A,BEOGRAD,11000,NA,RS108245828,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=905482973&projectId=817936&programId=31045243,NA,NA,NA,NA,NA,NA,NA
222529,817936,SHEALTHY,participant,928575472,BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS,BIOS,HES,false,246350,RS,DR ZORANA DINDICA STREET 1,NOVI SAD,21000,www.biosense.rs,RS109015886,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928575472&projectId=817936&programId=31045243,NA,NA,NA,NA,NA,NA,NA
218572,818182,SmartAgriHubs,participant,928575472,BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS,BIOS,HES,false,548750,RS,DR ZORANA DINDICA STREET 1,NOVI SAD,21000,www.biosense.rs,RS109015886,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928575472&projectId=818182&programId=31045243,NA,NA,NA,NA,NA,NA,NA
216602,754104,IMPLEMENT,participant,984364246,REGIONALNA ENERGETSKA AGENCIJA SJEVEROZAPADNE HRVATSKE,REGEA,HES,false,168676.25,HR,ANDRIJE ZAJE 10,ZAGREB,10000,NA,HR2324873,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=984364246&projectId=754104&programId=31045243,NA,NA,NA,NA,NA,NA,NA
216628,779318,RISE,participant,931168961,INSTITUT ZA BILAKJ SEMEJSTVO I SISTEMSKA PRAKSA - ALTENATIVA,ALTERNATIVA,OTH,false,451562.5,MK,BULD JANE SANDANSKI 65,SKOPJE,1000,NA,MK4032009502363,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=931168961&projectId=779318&programId=31045243,NA,NA,NA,NA,NA,NA,NA
218342,818488,FAIRshare,participant,909538155,MREZA SAVJETODAVNIH SLUZBI JUGOISTOCNE EUROPE,SEASN,HES,false,782362.5,HR,SAVSKA CESTA 41,ZAGREB,10000,NA,HR77817939141,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=909538155&projectId=818488&programId=31045243,NA,NA,NA,NA,NA,NA,NA
216096,777536,EOSC-hub,participant,999655326,SVEUCILISTE U ZAGREBU SVEUCILISNI RACUNSKI CENTAR,SRCE,HES,false,104087.5,HR,JOSIPA MAROHNICA 5,ZAGREB,10000,NA,HR3283020,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999655326&projectId=777536&programId=31045243,NA,NA,NA,NA,NA,NA,NA
216096,777536,EOSC-hub,participant,999875031,RUDER BOSKOVIC INSTITUTE,RBI,HES,false,78000,HR,Bijenicka cesta 54,ZAGREB,10000,www.irb.hr,HR69715301002,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999875031&projectId=777536&programId=31045243,NA,NA,NA,NA,NA,NA,NA
214640,769355,PIXEL,participant,999862130,"SVEUCILISTE U RIJECI, MEDICINSKI FAKULTET",MEDRI,HES,false,307500,HR,BRACE BRANCHETTA 20,RIJEKA,51000,www.medri.uniri.hr,HR98164324541,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999862130&projectId=769355&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215956,773785,SMARTCHAIN,participant,999584904,INSTITUT ZA FIZIKU,IPB,HES,false,146967.5,RS,PREGREVICA 118,BEOGRAD,11080,www.ipb.ac.rs,RS100105980,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999584904&projectId=773785&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215956,773785,SMARTCHAIN,participant,999824688,FACULTY OF AGRICULTURE - UNIVERSITY OF BELGRADE,UOB,HES,false,131250,RS,Nemanjina  6,BELGRADE,11080,www.agrif.bg.ac.rs,CS100198802,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999824688&projectId=773785&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215956,773785,SMARTCHAIN,participant,914172815,UDRUZENJE KOMPANIJA ZA PRERADU VOCAI POVRCA KRALJEVO,AFV,HES,false,20612.5,RS,OMLADINSKA 2,KRALJEVO,36000,NA,RS107316914,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=914172815&projectId=773785&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215956,773785,SMARTCHAIN,participant,914177568,PROMETNO PROMETNO DRUSTVO SA OGRANICENOM ODGOVORNOSCU POLO CACAK,PDC,OTH,false,20612.5,RS,KNEZA MILOSA 11,CACAK,32000,NA,RS101298989,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=914177568&projectId=773785&programId=31045243,NA,NA,NA,NA,NA,NA,NA
216078,776604,CLEVER Cities,participant,928399029,CENTRE FOR EXPERIMENTS IN URBAN STUDIES  - CEUS,CEUS,HES,false,113687.5,RS,Dalmatinska 70/III/5,BELGRADE,11000,NA,RS108326015,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928399029&projectId=776604&programId=31045243,NA,NA,NA,NA,NA,NA,NA
216078,776604,CLEVER Cities,participant,939608446,GRAD BEOGRAD,BEL,HES,false,60985,RS,DRAGOSLAVA JOVANOVICA 2,BEOGRAD,11000,NA,RS100065430,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=939608446&projectId=776604&programId=31045243,NA,NA,NA,NA,NA,NA,NA
214917,788317,SySTEM 2020,participant,954810286,CENTAR ZA PROMOCIJU NAUKE,CPN,HES,false,71625,RS,KRALJA PETRA 46,BEOGRAD,11000,www.cpn.rs,RS106867229,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=954810286&projectId=788317&programId=31045243,NA,NA,NA,NA,NA,NA,NA
220942,824084,IS-ENES3,participant,999859220,FACULTY OF PHYSICS OF THE UNIVERSITY OF BELGRADE,FPUB,HES,false,65975,RS,Studentski trg  12-16,BELGRADE,11001,NA,CS135457461,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999859220&projectId=824084&programId=31045243,NA,NA,NA,NA,NA,NA,NA
220351,823914,ARIADNEplus,participant,951074040,ARHEOLOSKI MUZEJ U ZAGREBU,AMZ,HES,false,60095,HR,TRG NIKOLE SUBICA ZRINSKOG 19,ZAGREB,10000,NA,HR79157146686,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=951074040&projectId=823914&programId=31045243,NA,NA,NA,NA,NA,NA,NA
219155,822682,POPREBEL,participant,996073019,UNIVERZITET U BEOGRADU - Filozofski fakultet,UBFF,HES,false,327865,RS,CIKA LJUBINA 18-20,BELGRADE,11000,www.f.bg.ac.rs,RS100050474,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=996073019&projectId=822682&programId=31045243,NA,NA,NA,NA,NA,NA,NA
219271,822380,MIICT,participant,938230367,ZDRUZENIE NA GRAGJANI ZA ISTRAZUVANJA ANALIZI I RAZVOJ NA JAVNI POLITIKI EVROTINK CENTAR ZA EVROPOSKI STRATEGII SKOPJE,EUROTHINK,HES,false,98250,MK,STEFAN JAKIMOV DEDOV 4-1/10,SKOPJE,1000,NA,MK4030002466407,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=938230367&projectId=822380&programId=31045243,NA,NA,NA,NA,NA,NA,NA
218685,824256,PANDA,participant,919150758,"TAJFUN HIL DRUSTVO SA OGRANICENOM ODGOVORNOSCU ZA ISTRAZIVANJE, PROIZVODNJU, TRGOVINU I USLUGE NOVI SAD",TY,OTH,false,350612.5,RS,BAJCI ZILINSKOG BB,NOVI SAD,21000,NA,RS106428105,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=919150758&projectId=824256&programId=31045243,NA,NA,NA,NA,NA,NA,NA
220361,825355,CYBELE,participant,928575472,BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS,BIOS,HES,false,436875,RS,DR ZORANA DINDICA STREET 1,NOVI SAD,21000,www.biosense.rs,RS109015886,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928575472&projectId=825355&programId=31045243,NA,NA,NA,NA,NA,NA,NA
214365,776714,C-SERVEES,participant,930315555,PARTICULA GROUP DRUSTVO S OGRANICENOM ODGOVORNOSCU ZA USLUGE,PARTICULA,OTH,false,139300,HR,IVANA FILIPOVICA 4,RIJEKA,51000,NA,HR54639759611,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=930315555&projectId=776714&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215950,773701,DEFEND,participant,913766385,JAVNA USTANOVA SPECIJALISTICKA VETERINARSKA LABORATORIJA PODGORICA,DVL,HES,false,15625,ME,BULEVAR DZORDZA VASINGTONA BB,PODGORICA,81000,NA,ME3031145918,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=913766385&projectId=773701&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215950,773701,DEFEND,participant,928904981,VETERINARY SPECIALIST INSTITUTE KRALJEVO,VSI Kraljevo,HES,false,16775,RS,ZICKA 34,KRALJEVO,36000,NA,RS100240259,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928904981&projectId=773701&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215950,773701,DEFEND,participant,999763966,SCIENTIFIC VETERINARY INSTITUTE NOVI SAD,NIV-NS,HES,false,13475,RS,Rumenacki put,NOVI SAD,21000,NA,NA,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999763966&projectId=773701&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215950,773701,DEFEND,participant,907399887,MINISTRIA E BUJQESISE DHE ZHVILLIMIT RURAL,MINA,HES,false,10625,AL,"""BULEVARDI """"DESHMORET E KOMBIT"""" NR 2""",TIRANA,1001,NA,ALJ62027011I,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=907399887&projectId=773701&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215950,773701,DEFEND,participant,999588493,Ss. CYRIL AND METHODIUS UNIVERSITY IN SKOPJE,Ss. Cyril and Methodius University in Skopje,HES,false,10625,MK,BLVD GOCE DELCEV 9,SKOPJE,1000,www.ukim.edu.mk,MK4030979223120,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999588493&projectId=773701&programId=31045243,NA,NA,NA,NA,NA,NA,NA
215948,774124,SUPER-G,participant,999836328,JAVNA USTANOVA UNIVERZITET CRNE GORE PODGORICA,UOM,HES,false,167000,ME,CETINJSKA 2,PODGORICA,81000,www.ucg.ac.me,ME3031039516,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999836328&projectId=774124&programId=31045243,NA,NA,NA,NA,NA,NA,NA
214903,787991,LIV.IN,participant,999789380,ERICSSON NIKOLA TESLA D.D.,ENT,OTH,false,112125,HR,KRAPINSKA  45,ZAGREB,10000,NA,HR84214771175,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999789380&projectId=787991&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213922,773406,OSMOSE,participant,972800488,ELEKTROENERGETSKI KOORDINACIONI CENTAR DOO,EKC,OTH,false,964748.75,RS,VOJVODE STEPE 412,BEOGRAD,11040,NA,RS101746458,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=972800488&projectId=773406&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213918,772705,NEFERTITI,participant,928575472,BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS,BIOS,HES,false,316863.75,RS,DR ZORANA DINDICA STREET 1,NOVI SAD,21000,www.biosense.rs,RS109015886,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=928575472&projectId=772705&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213918,772705,NEFERTITI,participant,939989850,HRVATSKA POLJOPRIVREDNO-SUMARSKA SAVJETODAVNA SLUZBA,ASC,HES,false,96296.25,HR,SAVSKA CESTA 41,ZAGREB GRAD ZAGREB,10000,NA,HR10041443114,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=939989850&projectId=772705&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213793,777554,ID-EPTRI,participant,984770288,QENDRES SPITALORE UNIVERSITARE NENETEREZA TIRANE,UHCT,REC,false,32375,AL,RR DIBRES 370,TIRANA,1001,NA,ALJ61911026A,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=984770288&projectId=777554&programId=31045243,NA,NA,NA,NA,NA,NA,NA
212834,760891,CHIC,participant,998386760,INSTITUT ZA BIOLOSKA ISTRAZIVANJA,IBISS,HES,false,361280,RS,BULEVAR DESPOTA STEFANA 142,BEOGRAD,11060,www.ibiss.bg.ac.yu,RS100205581,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=998386760&projectId=760891&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213058,779334,IMPULSE,participant,929443913,KLINICKI CENTAR CRNE GORE PODGORICA,KCCG,HES,false,222090,ME,LJUBLJANSKA BB,PODGORICA,81000,NA,ME02015366,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=929443913&projectId=779334&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213058,779334,IMPULSE,participant,912460862,UDRUZENJE ZA ZASTITU MENTALNOG ZDRAVLJA MENSSANA,MENS,HES,false,29612.5,BA,MARKA MARULICA 2A,SARAJEVO,71000,NA,NA,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=912460862&projectId=779334&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213058,779334,IMPULSE,participant,924908484,PROSTOR ASSOCIATION,PRO,HES,false,28462.5,RS,DRAGOSLAVA JOVANOVICA 9/2,BEOGRAD,11 000,NA,RS106411358,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=924908484&projectId=779334&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213058,779334,IMPULSE,participant,973768354,KLINICKI CENTAR UNIVERZITETA U SARAJEVU JAVNA USTANOVA U DRZAVNOJ SVOJINI SA PO,KCUS,HES,false,306832.5,BA,BOLNICKA 25,SARAJEVO,71000,www.kcus.ba,BA200089110002,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=973768354&projectId=779334&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213058,779334,IMPULSE,participant,999891424,"FACULTY OF MEDICINE, UNIVERSITY OF BELGRADE",UBEO,HES,false,217338.75,RS,"Dr Subotica, 8",BELGRADE,11000,http://www.med.bg.ac.yu,RS100221404,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999891424&projectId=779334&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213058,779334,IMPULSE,participant,968666930,UNIVERSITETI I PRISHTINES,UNIP,HES,false,204496.25,XK,STREET NENA TEREZE,PRISTINA,38000,NA,XK600335485,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=968666930&projectId=779334&programId=31045243,NA,NA,NA,NA,NA,NA,NA
213058,779334,IMPULSE,participant,997719012,UNIVERSITY CLINIC OF PSYCHIATRY,UniSK,HES,false,210286.25,MK,UL BELGRADSKA B B,SKOPJE,NA,NA,MK4030007645490,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997719012&projectId=779334&programId=31045243,NA,NA,NA,NA,NA,NA,NA
212952,777449,ECDP,participant,999893364,INSTITUT DRUSTVENIH ZNANOSTI IVO PILAR,IPI,HES,false,91861.25,HR,MARULICEV TRG 19/1,ZAGREB,10000,www.pilar.hr,HR32840574937,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999893364&projectId=777449&programId=31045243,NA,NA,NA,NA,NA,NA,NA
212949,777441,KET4CleanProduction,participant,984224081,TERA TEHNOPOLIS DOO ZA PROMICANJE NOVIH TEHNOLOGIJA INOVACIJA I PODUZETNISTVA,TERA TEHNOPOLIS,HES,false,116625,HR,TRG LJUDEVITA GAJA 6,OSIJEK,31000,NA,HR39077073015,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=984224081&projectId=777441&programId=31045243,NA,NA,NA,NA,NA,NA,NA
212898,775970,EN SGplusRegSys,participant,940954224,FOND ZA ZASTITU OKOLISA I ENERGETSKU UCINKOVITOST,FZOEU,HES,false,59812.5,HR,KSAVER 208,ZAGREB,10000,NA,HR85828625994,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=940954224&projectId=775970&programId=31045243,NA,NA,NA,NA,NA,NA,NA
211928,768776,InBetween,participant,999940991,INSTITUT MIHAJLO PUPIN,IMP,HES,false,290200,RS,VOLGINA  15,BEOGRAD,11060,www.institutepupin.com,CS100008310,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=999940991&projectId=768776&programId=31045243,NA,NA,NA,NA,NA,NA,NA
211647,769478,HERA-JRP-PS,participant,995092058,HRVATSKA AKADEMIJA ZNANOSTI I UMJETNOSTI,HAZU,HES,false,50000,HR,TRG NIKOLE SUBICA ZRINSKOG  11,ZAGREB,10000,www.hazu.hr,NA,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=995092058&projectId=769478&programId=31045243,NA,NA,NA,NA,NA,NA,NA
211706,769980,NOESIS,participant,997736181,Univerzitet u Beogradu - Saobracajni fakultet,FTTE,HES,false,125031.25,RS,Vojvode Stepe 305,Belgrade,11000,http://www.sf.bg.ac.yu/,RS100376470,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=997736181&projectId=769980&programId=31045243,NA,NA,NA,NA,NA,NA,NA
210349,754521,CA-EED 2,participant,938912471,"Ministry of Economy, Entrepreneurship and Crafts",MOELE,HES,true,NA,HR,Ulica grada Vukovara,Zagreb,10000,NA,HR22413472900,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=938912471&projectId=754521&programId=31045243,NA,NA,NA,NA,NA,NA,NA
210349,754521,CA-EED 2,participant,916533310,MINISTARSTVO ZASTITE OKOLISA I ENERGETIKE,MEE,HES,false,36166.25,HR,RADNICKA CESTA 80,Zagreb,10000,NA,HR19370100881,https://ec.europa.eu/research/participants/api/contact/indexcontactproject.html?pic=916533310&projectId=754521&programId=31045243,NA,NA,NA,NA,NA,NA,NA
