Ime Opštine,Mjesec,Godina,Nezaposleni
Andrijevica,Januar,2020,757
Berane,Januar,2020,4233
Budva,Januar,2020,652
Bijelo Polje,Januar,2020,3422
Bar,Januar,2020,1611
Cetinje,Januar,2020,938
Danilovgrad,Januar,2020,835
Golubovci,Januar,2020,498
Gusinje,Januar,2020,585
Herceg Novi,Januar,2020,608
Kolašin,Januar,2020,733
Kotor,Januar,2020,404
Mojkovac,Januar,2020,615
Nikšić,Januar,2020,3246
Podgorica,Januar,2020,6002
Plav,Januar,2020,1688
Petnjica,Januar,2020,980
Pljevlja,Januar,2020,1920
Plužine,Januar,2020,160
Rožaje,Januar,2020,3306
Šavnik,Januar,2020,66
Tivat,Januar,2020,410
Tuzi,Januar,2020,686
Ulcinj,Januar,2020,1167
Žabljak,Januar,2020,87
Andrijevica,Februar,2020,762
Berane,Februar,2020,4283
Budva,Februar,2020,630
Bijelo Polje,Februar,2020,3428
Bar,Februar,2020,1579
Cetinje,Februar,2020,959
Danilovgrad,Februar,2020,832
Golubovci,Februar,2020,501
Gusinje,Februar,2020,591
Herceg Novi,Februar,2020,579
Kolašin,Februar,2020,750
Kotor,Februar,2020,338
Mojkovac,Februar,2020,625
Nikšić,Februar,2020,3281
Podgorica,Februar,2020,5966
Plav,Februar,2020,1715
Petnjica,Februar,2020,999
Pljevlja,Februar,2020,1952
Plužine,Februar,2020,158
Rožaje,Februar,2020,3234
Šavnik,Februar,2020,66
Tivat,Februar,2020,410
Tuzi,Februar,2020,689
Ulcinj,Februar,2020,1165
Žabljak,Februar,2020,90
Andrijevica,Mart,2020,767
Berane,Mart,2020,4286
Budva,Mart,2020,614
Bijelo Polje,Mart,2020,3391
Bar,Mart,2020,1579
Cetinje,Mart,2020,969
Danilovgrad,Mart,2020,839
Golubovci,Mart,2020,503
Gusinje,Mart,2020,591
Herceg Novi,Mart,2020,571
Kolašin,Mart,2020,758
Kotor,Mart,2020,330
Mojkovac,Mart,2020,637
Nikšić,Mart,2020,3298
Podgorica,Mart,2020,5887
Plav,Mart,2020,1723
Petnjica,Mart,2020,1006
Pljevlja,Mart,2020,1962
Plužine,Mart,2020,161
Rožaje,Mart,2020,3270
Šavnik,Mart,2020,66
Tivat,Mart,2020,412
Tuzi,Mart,2020,697
Ulcinj,Mart,2020,1164
Žabljak,Mart,2020,97
Andrijevica,April,2020,819
Berane,April,2020,4545
Budva,April,2020,753
Bijelo Polje,April,2020,3674
Bar,April,2020,1866
Cetinje,April,2020,1224
Danilovgrad,April,2020,1094
Golubovci,April,2020,670
Gusinje,April,2020,622
Herceg Novi,April,2020,716
Kolašin,April,2020,853
Kotor,April,2020,409
Mojkovac,April,2020,802
Nikšić,April,2020,3866
Podgorica,April,2020,6865
Plav,April,2020,1754
Petnjica,April,2020,1037
Pljevlja,April,2020,2237
Plužine,April,2020,178
Rožaje,April,2020,3521
Šavnik,April,2020,69
Tivat,April,2020,487
Tuzi,April,2020,822
Ulcinj,April,2020,132
Žabljak,April,2020,156
Andrijevica,Maj,2020,819
Berane,Maj,2020,4618
Budva,Maj,2020,795
Bijelo Polje,Maj,2020,3770
Bar,Maj,2020,2050
Cetinje,Maj,2020,1280
Danilovgrad,Maj,2020,1154
Golubovci,Maj,2020,723
Gusinje,Maj,2020,637
Herceg Novi,Maj,2020,744
Kolašin,Maj,2020,885
Kotor,Maj,2020,432
Mojkovac,Maj,2020,841
Nikšić,Maj,2020,4014
Podgorica,Maj,2020,7371
Plav,Maj,2020,1779
Petnjica,Maj,2020,1039
Pljevlja,Maj,2020,2322
Plužine,Maj,2020,201
Rožaje,Maj,2020,3707
Šavnik,Maj,2020,70
Tivat,Maj,2020,534
Tuzi,Maj,2020,886
Ulcinj,Maj,2020,1364
Žabljak,Maj,2020,159
Andrijevica,Juni,2020,813
Berane,Juni,2020,4473
Budva,Juni,2020,809
Bijelo Polje,Juni,2020,3768
Bar,Juni,2020,1992
Cetinje,Juni,2020,1239
Danilovgrad,Juni,2020,1124
Golubovci,Juni,2020,723
Gusinje,Juni,2020,619
Herceg Novi,Juni,2020,712
Kolašin,Juni,2020,896
Kotor,Juni,2020,427
Mojkovac,Juni,2020,834
Nikšić,Juni,2020,3858
Podgorica,Juni,2020,7545
Plav,Juni,2020,1799
Petnjica,Juni,2020,1083
Pljevlja,Juni,2020,2340
Plužine,Juni,2020,217
Rožaje,Juni,2020,3670
Šavnik,Juni,2020,63
Tivat,Juni,2020,553
Tuzi,Juni,2020,836
Ulcinj,Juni,2020,1336
Žabljak,Juni,2020,161
Andrijevica,Juli,2020,806
Berane,Juli,2020,4562
Budva,Juli,2020,813
Bijelo Polje,Juli,2020,3891
Bar,Juli,2020,2031
Cetinje,Juli,2020,1245
Danilovgrad,Juli,2020,1124
Golubovci,Juli,2020,732
Gusinje,Juli,2020,620
Herceg Novi,Juli,2020,759
Kolašin,Juli,2020,926
Kotor,Juli,2020,448
Mojkovac,Juli,2020,849
Nikšić,Juli,2020,3893
Podgorica,Juli,2020,7579
Plav,Juli,2020,1792
Petnjica,Juli,2020,1066
Pljevlja,Juli,2020,2385
Plužine,Juli,2020,212
Rožaje,Juli,2020,3690
Šavnik,Juli,2020,66
Tivat,Juli,2020,562
Tuzi,Juli,2020,864
Ulcinj,Juli,2020,1304
Žabljak,Juli,2020,148
Andrijevica,August,2020,812
Berane,August,2020,4589
Budva,August,2020,803
Bijelo Polje,August,2020,3902
Bar,August,2020,2150
Cetinje,August,2020,1222
Danilovgrad,August,2020,1132
Golubovci,August,2020,750
Gusinje,August,2020,640
Herceg Novi,August,2020,837
Kolašin,August,2020,914
Kotor,August,2020,473
Mojkovac,August,2020,849
Nikšić,August,2020,4038
Podgorica,August,2020,7733
Plav,August,2020,1829
Petnjica,August,2020,1085
Pljevlja,August,2020,2331
Plužine,August,2020,226
Rožaje,August,2020,3728
Šavnik,August,2020,71
Tivat,August,2020,558
Tuzi,August,2020,889
Ulcinj,August,2020,1371
Žabljak,August,2020,133
Andrijevica,Septembar,2020,839
Berane,Septembar,2020,4576
Budva,Septembar,2020,829
Bijelo Polje,Septembar,2020,3897
Bar,Septembar,2020,2184
Cetinje,Septembar,2020,1223
Danilovgrad,Septembar,2020,1117
Golubovci,Septembar,2020,733
Gusinje,Septembar,2020,630
Herceg Novi,Septembar,2020,817
Kolašin,Septembar,2020,938
Kotor,Septembar,2020,472
Mojkovac,Septembar,2020,834
Nikšić,Septembar,2020,4093
Podgorica,Septembar,2020,7823
Plav,Septembar,2020,1838
Petnjica,Septembar,2020,1082
Pljevlja,Septembar,2020,2384
Plužine,Septembar,2020,234
Rožaje,Septembar,2020,3768
Šavnik,Septembar,2020,77
Tivat,Septembar,2020,582
Tuzi,Septembar,2020,856
Ulcinj,Septembar,2020,1417
Žabljak,Septembar,2020,140
Andrijevica,Oktobar,2020,867
Berane,Oktobar,2020,4651
Budva,Oktobar,2020,951
Bijelo Polje,Oktobar,2020,3866
Bar,Oktobar,2020,2269
Cetinje,Oktobar,2020,1311
Danilovgrad,Oktobar,2020,1111
Golubovci,Oktobar,2020,779
Gusinje,Oktobar,2020,650
