Opština,Januar,Februar,Mart,April,Maj,Juni,Juli,August,Septembar,Oktobar
Andrijevica,757,762,767,819,819,813,806,812,839,867
Berane,4233,4283,4286,4545,4618,4473,4562,4589,4576,4651
Budva,652,630,614,753,795,809,813,803,829,951
Bijelo Polje,3422,3428,3391,3674,3770,3768,3891,3902,3897,3866
Bar,1611,1579,1579,1866,2050,1992,2031,2150,2184,2269
Cetinje,938,959,969,1224,1280,1239,1245,1222,1223,1311
Danilovgrad,835,832,839,1094,1154,1124,1124,1132,1117,1111
Golubovci,498,501,503,670,723,723,732,750,733,779
Gusinje,585,591,591,622,637,619,620,640,630,650
Herceg Novi,608,579,571,716,744,712,759,837,817,906
Kolašin,733,750,758,853,885,896,926,914,938,920
Kotor,404,338,330,409,432,427,448,473,472,476
Mojkovac,615,625,637,802,841,834,849,849,834,839
Nikšić,3246,3281,3298,3866,4014,3858,3893,4038,4093,4292
Podgorica,6002,5966,5887,6865,7371,7545,7579,7733,7823,8161
Plav,1688,1715,1723,1754,1779,1799,1792,1829,1838,1861
Petnjica,980,999,1006,1037,1039,1083,1066,1085,1082,1108
Pljevlja,1920,1952,1962,2237,2322,2340,2385,2331,2384,2445
Plužine,160,158,161,178,201,217,212,226,234,236
Rožaje,3306,3234,3270,3521,3707,3670,3690,3728,3768,3854
Šavnik,66,66,66,69,70,63,66,71,77,76
Tivat,410,410,412,487,534,553,562,558,582,615
Tuzi,686,689,697,822,886,836,864,889,856,882
Ulcinj,1167,1165,1164,132,1364,1336,1304,1371,1417,1535
Žabljak,87,90,97,156,159,161,148,133,140,150
Ukupno,35609,35582,35578,39171,42194,41890,42367,43065,43383,44811
